Order_ID,Order_Date,Customer,Category,Sub_Category,Sales,Profit,Quantity,Discount,Region,Old_System_Code
ORD-0046,2023-02-15,Alice,Furniture,Chairs,2482.16,,4,0.1,East,
ORD-0047,2023-02-16,Bob,office supplies,Paper,3709.89,,2,0.2,West,
ORD-0048,2023-02-17,,Electronics,phones,2870.02,,15,,West,
ORD-0049,2023-02-18,Bob,Furniture,Phones,4988.49,,2,0.1,North,
ORD-0050,2023-02-19,Diana,,Chairs,3764.49,179.22,4,0.2,East,
ORD-0051,2023-02-20,Diana,Furniture,Chairs,9999999.0,495.72,6,0.1,south,
ORD-0052,2023-02-21,Diana,Furniture,Chairs,3895.07,-99999.0,7,,West ,
ORD-0053,2023-02-22,Diana,Electronics,Paper,724.21,340.93,10,0.0,south,
ORD-0054,2023-02-23,,Technology,phones,1030.68,806.3,19,0.0,West ,
ORD-0055,2023-02-24,Charlie,Furniture,phones,3573.18,1330.68,19,0.2,East,
ORD-0056,2023-02-25,Alice,office supplies,Phones,2474.97,-491.63,12,0.3,East,
ORD-0057,2023-02-26,Diana,Technology,Phones,3775.63,668.28,3,0.2,East,
ORD-0058,2023-02-27,Bob,,Chairs,523.55,242.51,13,0.3,West,
ORD-0059,2023-02-28,Diana,Electronics,Phones,2687.04,1632.05,18,0.1,West ,
ORD-0060,2023-03-01,Bob,,Paper,1900.32,1288.88,8,0.1,West,
ORD-0061,2023-03-02,Bob,Technology,phones,2290.43,972.77,15,,West,
ORD-0062,2023-03-03,Diana,Technology,Chairs,3023.75,193.16,1,,EAST,
ORD-0063,2023-03-04,,Technology,Phones,2516.42,1775.85,3,,south,
ORD-0064,2023-03-05,Bob,,Paper,2703.9,-387.25,8,,south,
ORD-0065,2023-03-06,Bob,Technology,Paper,2436.92,-226.33,4,,North,
ORD-0066,2023-03-07,Diana,,Phones,2050.69,479.08,16,,West,
ORD-0067,2023-03-08,Bob,Technology,phones,3861.69,-188.91,10,0.0,West ,
ORD-0068,2023-03-09,Bob,office supplies,Phones,70.89,1891.04,12,0.0,EAST,
ORD-0069,2023-03-10,Diana,Technology,Chairs,2996.23,1494.97,14,0.2,EAST,
ORD-0070,2023-03-11,Diana,,Phones,2831.89,147.46,14,0.0,south,
ORD-0071,2023-03-12,Alice,Furniture,Paper,3583.73,971.39,2,0.3,West,
ORD-0072,2023-03-13,,Technology,Phones,2999.16,1955.83,5,,North,
ORD-0073,2023-03-14,,Furniture,phones,4135.73,1710.5,5,0.0,West,
ORD-0074,2023-03-15,Bob,office supplies,CHAIRS,4795.78,1002.0,6,0.3,East,
ORD-0075,2023-03-16,,Electronics,Phones,1719.2,1759.31,13,0.1,West,
ORD-0076,2023-03-17,Bob,office supplies,phones,1144.48,1972.96,9,0.3,East,
ORD-0077,2023-03-18,Alice,Technology,phones,2123.75,1358.38,15,,East,
ORD-0078,2023-03-19,Diana,Furniture,Paper,1446.77,-337.53,14,0.3,North,
ORD-0079,2023-03-20,Diana,Furniture,phones,3078.6,503.95,7,0.2,West ,
ORD-0080,2023-03-21,Diana,,phones,4560.14,1594.56,2,,south,
ORD-0081,2023-03-22,,Furniture,phones,704.19,76.42,7,0.1,West,
ORD-0082,2023-03-23,Alice,,phones,512.97,1576.61,6,0.2,East,
ORD-0083,2023-03-24,,Electronics,Chairs,1287.52,-199.15,17,0.3,West,
ORD-0084,2023-03-25,,Technology,Chairs,3633.22,-382.64,2,,West ,
ORD-0085,2023-03-26,Alice,,Paper,2968.88,460.23,3,0.1,south,
ORD-0086,2023-03-27,Alice,Electronics,Phones,520.04,-408.17,5,0.2,West ,
ORD-0087,2023-03-28,Alice,Furniture,phones,4594.57,1893.18,5,0.1,south,
ORD-0088,2023-03-29,Alice,Furniture,Phones,3952.52,1565.51,1,0.3,EAST,
ORD-0089,2023-03-30,Diana,Electronics,Phones,124.88,1501.92,8,0.1,south,
ORD-0090,2023-03-31,Charlie,Furniture,Paper,3260.32,1074.44,12,0.0,North,
ORD-0091,2023-04-01,Charlie,Electronics,phones,3858.52,40.81,4,0.2,West ,
ORD-0092,2023-04-02,Alice,,phones,1878.43,795.65,13,0.1,East,
ORD-0093,2023-04-03,Charlie,,CHAIRS,353.92,993.19,15,0.3,EAST,
ORD-0094,2023-04-04,Charlie,Electronics,Phones,395.83,812.58,11,0.3,North,
ORD-0095,2023-04-05,Alice,,Phones,530.19,150.58,10,0.1,West,
ORD-0096,2023-04-06,Charlie,,Chairs,4203.79,788.12,3,0.3,West ,
ORD-0097,2023-04-07,,,CHAIRS,4554.32,727.97,14,,East,
ORD-0098,2023-04-08,Bob,office supplies,Chairs,622.83,1990.84,16,,south,
ORD-0099,2023-04-09,Bob,Technology,Chairs,1187.17,1743.59,10,,East,
ORD-0100,2023-04-10,Alice,Furniture,Chairs,835.95,658.45,10,0.0,West,
ORD-0101,2023-04-11,Diana,office supplies,Paper,939.74,1057.34,12,0.1,EAST,
ORD-0102,2023-04-12,Alice,,Paper,4189.08,1369.68,9,0.0,EAST,
ORD-0103,2023-04-13,Diana,Electronics,Chairs,1667.41,-412.84,1,0.3,West ,
ORD-0104,2023-04-14,Bob,,CHAIRS,1564.11,1737.3,5,0.0,EAST,
ORD-0105,2023-04-15,Alice,Technology,Phones,1144.7,1650.32,8,0.3,West ,
ORD-0106,2023-04-16,,,CHAIRS,3043.39,643.58,11,0.3,West ,
ORD-0107,2023-04-17,Charlie,Electronics,phones,1902.74,477.92,12,0.2,West ,
ORD-0108,2023-04-18,Diana,Technology,Paper,3723.81,182.4,1,,south,
ORD-0109,2023-04-19,Charlie,,Phones,1035.84,691.69,11,0.3,North,
ORD-0110,2023-04-20,Charlie,Technology,Phones,3941.07,-389.06,5,0.2,West ,
ORD-0111,2023-04-21,Alice,Furniture,phones,3022.57,1630.48,15,,West ,
ORD-0112,2023-04-22,Charlie,Furniture,phones,580.19,-411.44,5,0.3,North,
ORD-0113,2023-04-23,,,Chairs,2078.38,322.63,12,0.3,East,
ORD-0114,2023-04-24,Charlie,Technology,Paper,4318.96,1828.97,5,0.0,West ,
ORD-0115,2023-04-25,Alice,Electronics,Paper,4615.57,1338.03,17,0.0,south,
ORD-0116,2023-04-26,,,CHAIRS,2333.84,203.48,17,,EAST,
ORD-0117,2023-04-27,Bob,Furniture,Chairs,2409.38,131.62,12,0.3,EAST,
ORD-0118,2023-04-28,Charlie,Furniture,Chairs,4593.09,-487.29,15,0.1,West,
ORD-0119,2023-04-29,Alice,,Chairs,2939.47,1239.29,15,0.0,West,
ORD-0120,2023-04-30,Bob,Technology,Chairs,173.9,-378.04,6,,EAST,
ORD-0121,2023-05-01,Bob,Furniture,Paper,4564.62,831.51,12,0.3,EAST,
ORD-0122,2023-05-02,Diana,Technology,Paper,1248.65,1905.3,18,0.3,south,
ORD-0123,2023-05-03,,Furniture,Chairs,2892.38,-226.33,14,0.1,North,
ORD-0124,2023-05-04,Charlie,Furniture,CHAIRS,835.91,1736.2,2,,West,
ORD-0125,2023-05-05,Alice,office supplies,Phones,179.06,1978.69,9,0.3,North,
ORD-0126,2023-05-06,Diana,Furniture,Phones,1564.25,-346.21,5,0.0,south,
ORD-0127,2023-05-07,,Electronics,CHAIRS,3904.67,1707.27,1,0.1,EAST,
ORD-0128,2023-05-08,Diana,,Chairs,1395.16,790.2,3,,West ,
ORD-0129,2023-05-09,,,Paper,1108.29,1766.28,6,0.1,North,
ORD-0130,2023-05-10,,Technology,Phones,1071.28,928.3,5,0.0,EAST,
ORD-0131,2023-05-11,Charlie,Furniture,phones,2580.72,1155.28,5,,EAST,
ORD-0132,2023-05-12,,Electronics,phones,4877.95,859.45,1,0.1,East,
ORD-0133,2023-05-13,Diana,Technology,CHAIRS,2300.36,1661.23,17,0.2,North,
ORD-0134,2023-05-14,,office supplies,Chairs,2790.95,1334.77,19,0.0,West ,
ORD-0135,2023-05-15,Charlie,Technology,Phones,4304.55,803.15,14,0.0,North,
ORD-0136,2023-05-16,Charlie,Technology,Chairs,2680.0,1670.4,12,0.0,EAST,
ORD-0137,2023-05-17,Diana,Furniture,Phones,930.47,113.21,10,0.2,West ,
ORD-0138,2023-05-18,Bob,office supplies,CHAIRS,1504.98,-106.65,18,0.2,south,
ORD-0139,2023-05-19,Bob,Technology,CHAIRS,1556.59,-99.0,11,0.3,East,
ORD-0140,2023-05-20,,Electronics,phones,1992.62,335.02,2,0.1,EAST,
ORD-0141,2023-05-21,Alice,Electronics,Chairs,2139.68,96.73,18,0.3,West,
ORD-0142,2023-05-22,,,phones,4000.91,1825.23,7,0.1,West,
ORD-0143,2023-05-23,Diana,office supplies,Chairs,1753.44,-235.41,15,0.2,East,
ORD-0144,2023-05-24,Diana,office supplies,phones,2346.48,1247.48,11,0.2,south,
ORD-0145,2023-05-25,Diana,,Paper,3128.63,-26.95,18,0.3,EAST,
ORD-0146,2023-05-26,Diana,Technology,Paper,1894.85,1704.09,12,,North,
ORD-0147,2023-05-27,Diana,office supplies,Paper,4184.46,1903.29,6,0.3,East,
ORD-0148,2023-05-28,Charlie,Electronics,Paper,2941.39,663.68,13,0.1,south,
ORD-0149,2023-05-29,Bob,Electronics,Phones,1477.28,1697.68,16,0.3,North,
ORD-0150,2023-05-30,Diana,Furniture,Paper,3573.16,-487.14,18,0.0,West,
ORD-0151,2023-05-31,Alice,office supplies,CHAIRS,2642.96,1549.87,10,0.1,West,
ORD-0152,2023-06-01,Alice,Technology,CHAIRS,2676.93,71.56,8,0.1,North,
ORD-0153,2023-06-02,Alice,,Phones,2410.63,1771.75,18,,East,
ORD-0154,2023-06-03,Alice,,Paper,2490.09,-497.2,1,0.2,West,
ORD-0155,2023-06-04,Charlie,Technology,Paper,3829.13,890.45,8,0.1,EAST,
ORD-0156,2023-06-05,Alice,Furniture,Paper,523.88,1391.59,6,0.2,West ,
ORD-0157,2023-06-06,Diana,,phones,1678.47,146.72,5,0.3,North,
ORD-0158,2023-06-07,,office supplies,Chairs,386.76,-17.17,15,0.0,North,
ORD-0159,2023-06-08,Alice,Furniture,phones,3768.7,-289.75,15,,West,
ORD-0160,2023-06-09,Charlie,office supplies,Chairs,1368.79,316.08,2,0.2,East,
ORD-0161,2023-06-10,Charlie,Electronics,Paper,4488.18,899.61,1,0.1,EAST,
ORD-0162,2023-06-11,Alice,Furniture,Paper,2637.63,-210.39,11,0.2,East,
ORD-0163,2023-06-12,,,phones,4005.74,441.74,10,0.1,south,
ORD-0164,2023-06-13,Alice,Furniture,phones,4894.87,-477.32,18,0.2,south,
ORD-0165,2023-06-14,Charlie,Furniture,Chairs,4200.55,1546.7,18,0.1,West ,
ORD-0166,2023-06-15,Bob,Furniture,CHAIRS,4336.3,-178.88,17,0.3,West,
ORD-0167,2023-06-16,Diana,Furniture,Chairs,2045.84,208.36,8,0.1,West,
ORD-0168,2023-06-17,Charlie,office supplies,phones,2763.1,-453.93,15,0.1,West,
ORD-0169,2023-06-18,Alice,Electronics,phones,1276.9,580.6,8,0.0,West ,
ORD-0170,2023-06-19,Diana,Technology,Phones,988.6,1600.3,17,0.1,south,
ORD-0171,2023-06-20,Alice,Furniture,phones,2532.48,480.38,12,0.0,East,
ORD-0172,2023-06-21,Alice,,Phones,2979.29,-51.26,8,,West ,
ORD-0173,2023-06-22,Bob,Furniture,CHAIRS,1702.96,1384.25,14,0.0,West ,
ORD-0174,2023-06-23,Diana,,Chairs,2851.52,1472.02,4,0.3,East,
ORD-0175,2023-06-24,Diana,office supplies,Chairs,4438.43,-65.62,1,0.0,West,
ORD-0176,2023-06-25,Bob,,Phones,2788.04,1427.14,1,,EAST,
ORD-0177,2023-06-26,Charlie,Technology,Chairs,3606.86,1868.24,19,0.3,East,
ORD-0178,2023-06-27,Alice,Electronics,phones,4028.52,-84.06,16,0.2,south,
ORD-0179,2023-06-28,,,Paper,4943.76,1427.46,14,0.2,North,
ORD-0180,2023-06-29,Alice,,Phones,3019.96,1271.43,16,0.0,North,
ORD-0181,2023-06-30,Alice,Electronics,Chairs,4036.18,683.93,5,0.0,West ,
ORD-0182,2023-07-01,Charlie,Technology,Phones,4813.62,-355.2,9,,North,
ORD-0183,2023-07-02,Alice,Furniture,Phones,4722.6,-313.26,2,,EAST,
ORD-0184,2023-07-03,Bob,,Paper,714.0,1631.04,18,0.1,West,
ORD-0185,2023-07-04,Bob,Electronics,phones,2037.9,1975.37,6,,south,
ORD-0186,2023-07-05,Diana,office supplies,Phones,1626.71,1190.13,9,0.1,EAST,
ORD-0187,2023-07-06,,Electronics,Chairs,443.76,614.9,1,0.3,south,
ORD-0188,2023-07-07,Alice,office supplies,CHAIRS,3169.87,1118.93,9,0.0,south,
ORD-0189,2023-07-08,Alice,Technology,Phones,3682.16,985.99,16,0.3,West,
ORD-0190,2023-07-09,Charlie,Furniture,Phones,4242.16,459.03,13,,West ,
ORD-0191,2023-07-10,Bob,Electronics,Paper,622.66,-335.93,9,0.3,North,
ORD-0192,2023-07-11,,,phones,4383.46,1553.78,13,0.3,West,
ORD-0193,2023-07-12,Diana,Technology,CHAIRS,3218.2,429.58,9,0.3,EAST,
ORD-0194,2023-07-13,Bob,Electronics,Chairs,3522.69,1546.96,11,,West ,
ORD-0195,2023-07-14,Diana,,CHAIRS,4554.01,131.27,4,0.3,EAST,
ORD-0196,2023-07-15,Charlie,Electronics,Chairs,3127.56,-497.43,2,0.1,West ,
ORD-0197,2023-07-16,Charlie,office supplies,phones,1685.97,-102.65,6,,EAST,
ORD-0198,2023-07-17,Alice,Electronics,Chairs,4127.29,671.35,14,0.3,West,
ORD-0199,2023-07-18,,Electronics,Paper,1821.67,1860.76,4,,West ,
ORD-0200,2023-07-19,Diana,Electronics,Paper,180.8,-244.52,6,0.2,West ,
ORD-0201,2023-07-20,Bob,Technology,Paper,4154.97,1635.52,19,0.1,south,
ORD-0202,2023-07-21,Charlie,Electronics,Paper,1732.51,817.56,6,0.3,south,
ORD-0203,2023-07-22,Alice,,CHAIRS,3871.43,1564.8,2,0.2,East,
ORD-0204,2023-07-23,Alice,office supplies,phones,1820.16,245.94,18,0.2,EAST,
ORD-0205,2023-07-24,Diana,office supplies,Chairs,4306.73,1599.87,13,,south,
ORD-0206,2023-07-25,Charlie,Electronics,Chairs,1105.36,1432.06,9,0.2,East,
ORD-0207,2023-07-26,,Technology,Paper,4872.99,75.13,19,0.1,south,
ORD-0208,2023-07-27,Charlie,Technology,Paper,3901.0,-171.66,13,0.1,EAST,
ORD-0209,2023-07-28,Diana,,Phones,580.05,1670.14,11,0.0,West ,
ORD-0210,2023-07-29,Diana,Electronics,phones,2833.23,1908.09,1,0.1,North,
ORD-0211,2023-07-30,Charlie,office supplies,CHAIRS,4926.98,-421.74,7,0.2,EAST,
ORD-0212,2023-07-31,Diana,Technology,Chairs,2360.62,1328.18,15,0.1,West,
ORD-0213,2023-08-01,Charlie,Electronics,Phones,918.71,1773.81,1,,south,
ORD-0214,2023-08-02,Bob,Technology,Phones,2429.04,1643.4,12,0.0,south,
ORD-0215,2023-08-03,Charlie,Technology,Chairs,2567.16,1911.3,7,0.2,West ,
ORD-0216,2023-08-04,Charlie,office supplies,CHAIRS,3711.02,1400.24,15,0.0,West,
ORD-0217,2023-08-05,Diana,Furniture,Phones,3497.24,605.75,19,0.2,West ,
ORD-0218,2023-08-06,Diana,,Phones,2018.72,279.88,1,,West,
ORD-0219,2023-08-07,Alice,,phones,1097.94,301.86,17,0.0,North,
ORD-0220,2023-08-08,Alice,office supplies,CHAIRS,3228.82,1311.06,17,0.3,south,
ORD-0221,2023-08-09,Bob,Technology,Phones,2114.3,1364.59,3,0.2,south,
ORD-0222,2023-08-10,Alice,Electronics,CHAIRS,670.06,0.9,12,0.3,North,
ORD-0223,2023-08-11,Charlie,Technology,Chairs,4503.86,1670.31,6,0.0,East,
ORD-0224,2023-08-12,Diana,office supplies,Paper,3459.2,1287.31,11,0.3,West ,
ORD-0225,2023-08-13,Alice,,Phones,3419.09,906.88,3,0.3,North,
ORD-0226,2023-08-14,Alice,Technology,phones,4114.69,678.83,8,0.0,West ,
ORD-0227,2023-08-15,Bob,,Chairs,2653.01,858.08,14,,EAST,
ORD-0228,2023-08-16,Bob,Electronics,CHAIRS,4077.12,-101.89,14,0.3,south,
ORD-0229,2023-08-17,Charlie,,Chairs,2495.47,9.25,10,0.3,West ,
ORD-0230,2023-08-18,Diana,,Phones,345.21,-272.09,2,,West,
ORD-0231,2023-08-19,Bob,Furniture,CHAIRS,2032.19,-115.85,14,0.3,West ,
ORD-0232,2023-08-20,Alice,Furniture,Paper,2492.35,634.23,9,0.3,EAST,
ORD-0233,2023-08-21,Diana,Furniture,Chairs,3603.81,825.89,3,0.3,south,
ORD-0234,2023-08-22,Diana,,Phones,541.83,-455.35,8,0.1,North,
ORD-0235,2023-08-23,Alice,office supplies,phones,708.69,1491.99,16,,EAST,
ORD-0236,2023-08-24,Bob,,CHAIRS,1325.78,235.42,2,0.3,south,
ORD-0237,2023-08-25,Alice,office supplies,Chairs,1339.83,1779.59,6,,West ,
ORD-0238,2023-08-26,Diana,office supplies,Chairs,3663.6,1918.78,12,0.2,East,
ORD-0239,2023-08-27,,Furniture,Paper,1261.15,-36.35,5,0.2,East,
ORD-0240,2023-08-28,,Technology,Paper,3169.16,655.24,2,0.3,West,
ORD-0241,2023-08-29,Charlie,Electronics,phones,2476.43,-496.92,16,,south,
ORD-0242,2023-08-30,Alice,Furniture,phones,2870.74,995.82,5,,East,
ORD-0243,2023-08-31,Alice,Furniture,Phones,4192.15,1018.27,15,,North,
ORD-0244,2023-09-01,Charlie,Technology,Phones,2027.86,118.85,12,0.1,south,
ORD-0245,2023-09-02,Charlie,Electronics,phones,3856.85,896.03,4,0.2,North,
ORD-0246,2023-09-03,Charlie,,phones,2115.96,63.85,15,,North,
ORD-0247,2023-09-04,Diana,,CHAIRS,1775.82,-97.94,11,,East,
ORD-0248,2023-09-05,Alice,Furniture,Paper,4793.55,1128.8,16,0.1,south,
ORD-0249,2023-09-06,Diana,Electronics,Phones,930.01,314.81,6,0.1,West ,
ORD-0250,2023-09-07,Charlie,Furniture,Paper,460.78,975.66,14,,EAST,
ORD-0251,2023-09-08,Alice,office supplies,Paper,3857.22,583.12,18,0.0,East,
ORD-0252,2023-09-09,Diana,Furniture,phones,350.57,1960.88,12,,East,
ORD-0253,2023-09-10,Diana,Furniture,CHAIRS,4187.02,-126.05,11,,West ,
ORD-0254,2023-09-11,Charlie,,Chairs,2191.6,661.5,13,0.1,south,
ORD-0255,2023-09-12,Alice,,CHAIRS,4578.41,1201.14,11,0.1,south,
ORD-0256,2023-09-13,Charlie,,CHAIRS,3610.45,488.86,16,,North,
ORD-0257,2023-09-14,Alice,office supplies,Paper,3055.92,1936.75,15,,West ,
ORD-0258,2023-09-15,,,CHAIRS,4747.04,1304.72,15,,West ,
ORD-0259,2023-09-16,Bob,Electronics,Phones,1989.28,1142.46,4,0.1,south,
ORD-0260,2023-09-17,Bob,Technology,Paper,4770.89,1392.65,11,,North,
ORD-0261,2023-09-18,Bob,Electronics,Phones,683.66,1881.62,19,,East,
ORD-0262,2023-09-19,Charlie,Electronics,Chairs,2423.94,1769.55,15,0.3,West,
ORD-0263,2023-09-20,,,Paper,1356.86,1310.71,4,0.0,EAST,
ORD-0264,2023-09-21,Alice,Technology,Chairs,2703.82,1372.9,13,0.2,East,
ORD-0265,2023-09-22,Diana,Technology,Paper,818.45,-135.19,19,0.0,south,
ORD-0266,2023-09-23,Alice,Technology,phones,4209.23,-243.02,2,0.3,EAST,
ORD-0267,2023-09-24,Diana,office supplies,CHAIRS,4233.58,927.26,14,0.2,West,
ORD-0268,2023-09-25,Alice,,phones,4776.63,-454.08,4,,West,
ORD-0269,2023-09-26,,Technology,Chairs,781.81,705.89,16,0.3,North,
ORD-0270,2023-09-27,Diana,office supplies,CHAIRS,3120.43,25.87,14,,EAST,
ORD-0271,2023-09-28,Charlie,Furniture,Paper,2376.44,365.04,15,0.1,North,
ORD-0272,2023-09-29,Alice,Furniture,CHAIRS,1728.47,1439.51,3,0.3,East,
ORD-0273,2023-09-30,Alice,office supplies,Phones,1764.19,1853.09,8,0.1,West ,
ORD-0274,2023-10-01,Diana,office supplies,CHAIRS,2069.84,-318.96,16,0.3,West ,
ORD-0275,2023-10-02,Charlie,,Phones,3527.58,835.61,10,0.3,West ,
ORD-0276,2023-10-03,Charlie,,CHAIRS,2995.45,1706.33,4,0.1,EAST,
ORD-0277,2023-10-04,,Furniture,Phones,2303.81,-293.73,18,0.2,West ,
ORD-0278,2023-10-05,Charlie,Technology,Chairs,388.91,1561.29,2,0.0,East,
ORD-0279,2023-10-06,Charlie,Furniture,phones,398.05,394.5,17,,North,
ORD-0280,2023-10-07,Charlie,Technology,Paper,21.67,305.24,13,0.3,EAST,
ORD-0281,2023-10-08,Bob,Technology,CHAIRS,4838.82,1943.67,4,,North,
ORD-0282,2023-10-09,,,phones,36.22,2.15,11,0.1,EAST,
ORD-0283,2023-10-10,Alice,Electronics,Paper,524.44,1232.98,7,,North,
ORD-0284,2023-10-11,Diana,Electronics,Paper,1579.84,1553.6,12,0.1,West,
ORD-0285,2023-10-12,Alice,office supplies,Phones,4039.08,-397.04,10,,North,
ORD-0286,2023-10-13,,,Chairs,4810.87,1175.96,7,0.0,West ,
ORD-0287,2023-10-14,Diana,Technology,Chairs,3952.17,1878.87,13,0.0,West,
ORD-0288,2023-10-15,,Electronics,phones,3455.9,-189.45,7,0.0,North,
ORD-0289,2023-10-16,Charlie,Technology,Chairs,2611.29,1740.55,17,0.0,EAST,
ORD-0290,2023-10-17,Diana,Electronics,CHAIRS,442.66,986.94,10,0.0,EAST,
ORD-0291,2023-10-18,Charlie,Electronics,Chairs,4791.27,1041.51,10,0.0,EAST,
ORD-0292,2023-10-19,Alice,Electronics,phones,3794.38,1032.36,4,0.1,south,
ORD-0293,2023-10-20,Alice,,Chairs,3198.36,247.09,4,0.3,East,
ORD-0294,2023-10-21,Diana,Furniture,CHAIRS,3797.59,1838.0,7,,EAST,
ORD-0295,2023-10-22,Diana,Technology,Phones,3623.28,1868.38,1,0.0,West,
ORD-0296,2023-10-23,,,phones,3189.79,1063.26,12,0.1,EAST,
ORD-0297,2023-10-24,,,Phones,4903.08,1458.56,13,0.1,south,
ORD-0298,2023-10-25,Charlie,,Phones,4517.79,1030.64,10,0.1,West ,
ORD-0299,2023-10-26,Diana,,Phones,3236.86,711.0,15,0.3,West,
ORD-0300,2023-10-27,Alice,,Paper,3468.94,1152.05,13,,south,
ORD-0001,2023-01-01,Diana,,Paper,2371.1,-371.01,16,,south,
ORD-0002,2023-01-02,,,CHAIRS,3034.45,1174.79,4,0.3,North,
ORD-0003,2023-01-03,Charlie,Electronics,phones,3973.5,-389.59,6,0.0,West,
ORD-0004,2023-01-04,,,CHAIRS,542.43,970.66,3,0.1,North,
ORD-0005,2023-01-05,,office supplies,Paper,4255.13,1998.38,9,0.0,West ,
ORD-0006,2023-01-06,Bob,Technology,Paper,3732.41,889.52,10,0.1,East,
ORD-0007,2023-01-07,Charlie,Electronics,CHAIRS,2048.51,683.03,14,0.1,East,
ORD-0008,2023-01-08,Charlie,Technology,Phones,4665.36,282.14,11,0.0,south,
